freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.064e+01,8.354e+00,2.622e+02,2.912e+02
1.5,9.597e+01,4.215e+01,1.860e+02,3.242e+02
2.9,1.264e+02,5.033e+01,5.499e+01,2.318e+02
4.4,1.451e+02,5.743e+01,2.354e+02,4.380e+02
5.9,1.335e+02,5.539e+01,8.997e+02,1.089e+03
7.3,1.355e+02,4.940e+01,1.501e+03,1.685e+03
8.8,1.319e+02,5.047e+01,2.167e+03,2.349e+03
10.2,1.274e+02,5.432e+01,3.011e+03,3.193e+03
11.7,1.136e+02,5.303e+01,3.863e+03,4.029e+03
13.2,1.167e+02,4.756e+01,4.871e+03,5.035e+03
14.6,1.342e+02,4.528e+01,6.217e+03,6.397e+03
16.1,1.460e+02,4.807e+01,8.121e+03,8.315e+03
17.6,1.212e+02,4.760e+01,1.098e+04,1.115e+04
19.0,1.289e+02,5.537e+01,1.381e+04,1.400e+04
20.5,1.403e+02,5.678e+01,1.568e+04,1.588e+04
21.9,1.304e+02,6.309e+01,1.716e+04,1.736e+04
23.4,1.243e+02,5.535e+01,1.914e+04,1.932e+04
24.9,1.263e+02,4.368e+01,2.167e+04,2.184e+04
26.3,1.241e+02,4.916e+01,2.502e+04,2.520e+04
27.8,1.479e+02,6.357e+01,2.850e+04,2.871e+04
29.3,1.408e+02,7.335e+01,3.142e+04,3.163e+04
30.7,1.751e+02,7.997e+01,3.311e+04,3.336e+04
32.2,1.830e+02,8.227e+01,3.441e+04,3.468e+04
33.6,1.764e+02,9.565e+01,3.654e+04,3.681e+04
35.1,1.885e+02,1.085e+02,4.378e+04,4.408e+04
36.6,2.219e+02,1.350e+02,6.004e+04,6.040e+04
38.0,2.134e+02,1.961e+02,8.758e+04,8.799e+04
39.5,2.172e+02,2.471e+02,9.915e+04,9.961e+04
41.0,2.009e+02,3.279e+02,9.966e+04,1.002e+05
42.4,2.358e+02,4.645e+02,1.124e+05,1.131e+05
43.9,3.125e+02,4.378e+02,1.296e+05,1.303e+05
45.3,3.900e+02,3.013e+02,1.598e+05,1.605e+05
46.8,4.998e+02,7.359e+02,2.435e+05,2.447e+05
48.3,7.354e+02,1.918e+03,4.201e+05,4.228e+05
49.7,1.195e+03,2.656e+03,6.300e+05,6.338e+05
51.2,1.858e+03,3.747e+03,8.348e+05,8.404e+05
52.7,2.453e+03,6.109e+03,1.091e+06,1.100e+06
54.1,2.092e+03,7.443e+03,1.068e+06,1.078e+06
55.6,2.234e+03,5.737e+03,7.453e+05,7.533e+05
57.0,3.267e+03,2.379e+03,4.203e+05,4.260e+05
58.5,3.027e+03,1.060e+03,2.630e+05,2.671e+05
60.0,1.675e+03,1.811e+03,2.873e+05,2.908e+05
61.4,8.214e+02,2.567e+03,2.895e+05,2.928e+05
62.9,7.409e+02,2.014e+03,2.355e+05,2.382e+05
64.4,6.835e+02,1.213e+03,1.876e+05,1.895e+05
65.8,9.112e+02,1.000e+03,1.434e+05,1.453e+05
67.3,1.291e+03,7.893e+02,9.843e+04,1.005e+05
68.7,2.025e+03,5.882e+02,6.582e+04,6.844e+04
70.2,2.840e+03,7.412e+02,6.125e+04,6.483e+04
71.7,2.343e+03,7.845e+02,5.906e+04,6.219e+04
73.1,1.730e+03,9.002e+02,5.128e+04,5.391e+04
74.6,1.372e+03,9.593e+02,4.370e+04,4.603e+04
76.1,9.795e+02,7.013e+02,3.573e+04,3.741e+04
77.5,8.103e+02,5.451e+02,2.987e+04,3.122e+04
79.0,5.928e+02,6.765e+02,2.755e+04,2.882e+04
80.4,4.879e+02,7.145e+02,2.386e+04,2.507e+04
81.9,4.910e+02,6.964e+02,2.048e+04,2.167e+04
