freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.232e+01,7.767e+02,6.797e+00,8.059e+02
1.4,3.027e+01,4.465e+02,3.093e+01,5.077e+02
2.9,2.696e+01,2.608e+01,3.631e+01,8.936e+01
4.3,2.583e+01,2.113e+02,3.333e+01,2.705e+02
5.8,2.394e+01,8.993e+02,3.654e+01,9.597e+02
7.2,2.849e+01,1.578e+03,3.397e+01,1.640e+03
8.7,2.923e+01,2.345e+03,3.069e+01,2.405e+03
10.1,2.996e+01,3.346e+03,3.128e+01,3.408e+03
11.6,2.559e+01,4.789e+03,3.306e+01,4.848e+03
13.0,2.644e+01,6.494e+03,3.361e+01,6.554e+03
14.5,3.390e+01,8.381e+03,3.251e+01,8.448e+03
15.9,4.245e+01,1.072e+04,3.145e+01,1.079e+04
17.3,3.810e+01,1.375e+04,3.265e+01,1.382e+04
18.8,4.741e+01,1.758e+04,3.046e+01,1.766e+04
20.2,6.724e+01,2.260e+04,3.046e+01,2.270e+04
21.7,8.021e+01,2.934e+04,3.454e+01,2.946e+04
23.1,9.089e+01,3.804e+04,3.324e+01,3.816e+04
24.6,1.312e+02,5.013e+04,3.393e+01,5.030e+04
26.0,2.019e+02,6.773e+04,3.288e+01,6.797e+04
27.5,3.185e+02,9.363e+04,3.176e+01,9.398e+04
28.9,5.046e+02,1.343e+05,3.317e+01,1.348e+05
30.3,9.127e+02,2.045e+05,4.236e+01,2.055e+05
31.8,1.835e+03,3.473e+05,4.693e+01,3.492e+05
33.2,4.873e+03,7.368e+05,1.020e+02,7.418e+05
34.7,1.515e+04,1.978e+06,3.435e+02,1.994e+06
36.1,2.787e+04,3.154e+06,5.817e+02,3.182e+06
37.6,2.697e+04,2.619e+06,4.580e+02,2.647e+06
39.0,1.812e+04,1.556e+06,2.268e+02,1.574e+06
40.5,1.217e+04,8.758e+05,1.120e+02,8.881e+05
41.9,9.118e+03,6.198e+05,1.467e+02,6.290e+05
43.4,6.680e+03,4.629e+05,1.884e+02,4.698e+05
44.8,5.672e+03,3.307e+05,1.810e+02,3.366e+05
46.2,5.783e+03,2.577e+05,1.495e+02,2.636e+05
47.7,6.044e+03,2.125e+05,9.605e+01,2.187e+05
49.1,6.161e+03,1.772e+05,9.672e+01,1.835e+05
50.6,6.350e+03,1.440e+05,1.512e+02,1.505e+05
52.0,6.577e+03,1.242e+05,1.830e+02,1.310e+05
53.5,7.080e+03,1.118e+05,1.914e+02,1.191e+05
54.9,8.334e+03,1.041e+05,2.302e+02,1.127e+05
56.4,1.092e+04,1.008e+05,2.957e+02,1.120e+05
57.8,1.389e+04,9.602e+04,5.134e+02,1.104e+05
59.3,1.769e+04,9.251e+04,9.507e+02,1.111e+05
60.7,2.285e+04,8.963e+04,1.220e+03,1.137e+05
62.1,2.918e+04,8.513e+04,1.339e+03,1.157e+05
63.6,3.658e+04,7.895e+04,1.424e+03,1.169e+05
65.0,4.247e+04,7.138e+04,1.724e+03,1.156e+05
66.5,4.840e+04,6.313e+04,2.629e+03,1.142e+05
67.9,5.994e+04,5.436e+04,4.200e+03,1.185e+05
69.4,7.797e+04,4.544e+04,6.482e+03,1.299e+05
70.8,7.876e+04,3.444e+04,7.935e+03,1.211e+05
72.3,5.994e+04,2.703e+04,6.299e+03,9.327e+04
73.7,4.900e+04,2.267e+04,3.038e+03,7.470e+04
75.2,4.004e+04,1.819e+04,1.668e+03,5.990e+04
76.6,2.508e+04,1.730e+04,8.789e+02,4.325e+04
78.0,1.559e+04,1.748e+04,5.539e+02,3.362e+04
79.5,9.976e+03,1.782e+04,6.287e+02,2.843e+04
80.9,6.059e+03,1.855e+04,6.902e+02,2.530e+04
82.4,3.337e+03,1.917e+04,5.666e+02,2.307e+04
83.8,1.798e+03,2.041e+04,4.818e+02,2.269e+04
85.3,8.610e+02,2.255e+04,4.427e+02,2.386e+04
86.7,6.631e+02,2.423e+04,4.144e+02,2.531e+04
88.2,1.161e+03,2.333e+04,5.591e+02,2.505e+04
89.6,1.503e+03,2.122e+04,8.613e+02,2.358e+04
91.0,1.527e+03,2.136e+04,1.171e+03,2.406e+04
92.5,1.513e+03,2.400e+04,1.104e+03,2.662e+04
93.9,1.315e+03,2.695e+04,7.860e+02,2.905e+04
95.4,1.043e+03,2.998e+04,5.054e+02,3.152e+04
96.8,9.046e+02,3.339e+04,2.391e+02,3.453e+04
98.3,1.063e+03,3.854e+04,2.985e+02,3.990e+04
99.7,1.851e+03,4.740e+04,1.650e+03,5.090e+04
101.2,3.131e+03,5.058e+04,9.770e+02,5.468e+04
102.6,4.108e+03,4.720e+04,2.893e+02,5.160e+04
104.1,4.949e+03,3.952e+04,3.035e+02,4.477e+04
105.5,4.412e+03,2.445e+04,4.753e+02,2.933e+04
106.9,3.981e+03,1.408e+04,4.053e+02,1.847e+04
108.4,4.368e+03,1.062e+04,3.464e+02,1.534e+04
109.8,3.545e+03,5.294e+03,3.076e+02,9.146e+03
111.3,3.924e+03,2.783e+03,2.813e+02,6.989e+03
112.7,4.154e+03,1.543e+03,2.250e+02,5.921e+03
114.2,3.598e+03,3.027e+02,1.855e+02,4.086e+03
115.6,3.624e+03,1.877e+02,2.109e+02,4.023e+03
117.1,3.872e+03,3.396e+02,2.930e+02,4.505e+03
118.5,4.171e+03,4.214e+02,3.925e+02,4.985e+03
120.0,4.479e+03,4.977e+02,4.472e+02,5.424e+03
